The bride is very happy.,The bride is very glad.,Paraphrasing
The bride is very happy.,The bride is very delighted.,Paraphrasing
The bride is very happy.,The bride is very joyful.,Paraphrasing
The bride is very happy.,The bride is very pleased.,Paraphrasing
A woman in a light red shirt looks very happy.,A woman in a light red shirt looks very delighted.,Paraphrasing
A woman in a light red shirt looks very happy.,A woman in a light red shirt looks very joyful.,Paraphrasing
A woman in a light red shirt looks very happy.,A woman in a light red shirt looks very pleased.,Paraphrasing
A woman in a light red shirt looks very happy.,A woman in a light red shirt looks very glad.,Paraphrasing
A little girl is walking in a puddle of rain water in a hole in the road.,A small girl is walking in a puddle of rain water in a hole in the road.,Paraphrasing
A little girl is walking in a puddle of rain water in a hole in the road.,A tiny girl is walking in a puddle of rain water in a hole in the road.,Paraphrasing
A little girl is walking in a puddle of rain water in a hole in the road.,A little girl is walking in a puddle of rain water in a hole in the street.,Paraphrasing
A man in an apron stands in a kitchen working an industrial mixing bowl.,A man in an apron stands in a room working an industrial mixing bowl.,strict_entailment
A man in an apron stands in a kitchen working an industrial mixing bowl.,A man in an apron stands in a building working an industrial mixing bowl.,strict_entailment
A little girl with pigtails is looking through picture books while her mom stands nearby.,A tiny girl with pigtails is looking through picture books while her mom stands nearby.,Paraphrasing
A little girl with pigtails is looking through picture books while her mom stands nearby.,A small girl with pigtails is looking through picture books while her mom stands nearby.,Paraphrasing
A little girl with pigtails is looking through picture books while her mom stands nearby.,A little girl with pigtails is looking through picture books while her mother stands nearby.,Paraphrasing
A man on a dirt road in a small town,A man on a dirt road in a tiny town,Paraphrasing
A man on a dirt road in a small town,A man on a dirt street in a small town,Paraphrasing
A man on a dirt road in a small town,A man on a dirt road in a little town,Paraphrasing
The small girl boots were a little dirty.,The little girl boots were a little dirty.,Paraphrasing
The small girl boots were a little dirty.,The tiny girl boots were a little dirty.,Paraphrasing
A little girl wearing a pink hat is running near some garden tools.,A tiny girl wearing a pink hat is running near some garden tools.,Paraphrasing
A little girl wearing a pink hat is running near some garden tools.,A small girl wearing a pink hat is running near some garden tools.,Paraphrasing
A little girl wearing a pink hat is running near some garden tools.,A little girl wearing a pink hat is running close to some garden tools.,Paraphrasing
A little girl with brown hair sleeps on the couch.,A tiny girl with brown hair sleeps on the couch.,Paraphrasing
A little girl with brown hair sleeps on the couch.,A little girl with brown hair sleeps on the sofa.,Paraphrasing
A little girl with brown hair sleeps on the couch.,A small girl with brown hair sleeps on the couch.,Paraphrasing
A man is standing by a city street holding a saxophone.,A man is standing by a city street holding an instrument.,strict_entailment
Someone plays a violin while another listens.,Someone plays an instrument while another listens.,strict_entailment
The little girl is driving the small blue car.,The little girl is driving the little blue car.,Paraphrasing
The little girl is driving the small blue car.,The small girl is driving the small blue car.,Paraphrasing
The little girl is driving the small blue car.,The tiny girl is driving the small blue car.,Paraphrasing
The little girl is driving the small blue car.,The little girl is driving the tiny blue car.,Paraphrasing
The little girl and lady are wearing costumes and crossing the street.,The small girl and lady are wearing costumes and crossing the street.,Paraphrasing
The little girl and lady are wearing costumes and crossing the street.,The tiny girl and lady are wearing costumes and crossing the street.,Paraphrasing
The little girl and lady are wearing costumes and crossing the street.,The little girl and lady are wearing costumes and crossing the road.,Paraphrasing
A little girl wearing an orange and white dress is being taught how to ride her green-colored bicycle by her father.,A tiny girl wearing an orange and white dress is being taught how to ride her green-colored bicycle by her father.,Paraphrasing
A little girl wearing an orange and white dress is being taught how to ride her green-colored bicycle by her father.,A little girl wearing an orange and white dress is being taught how to ride her green-colored bicycle by her dad.,Paraphrasing
A little girl wearing an orange and white dress is being taught how to ride her green-colored bicycle by her father.,A small girl wearing an orange and white dress is being taught how to ride her green-colored bicycle by her father.,Paraphrasing
People near 5 orange outdoor toilets in a city,People close to 5 orange outdoor toilets in a city,Paraphrasing
The little girl is bothering her father.,The little girl is bothering her dad.,Paraphrasing
The little girl is bothering her father.,The tiny girl is bothering her father.,Paraphrasing
The little girl is bothering her father.,The small girl is bothering her father.,Paraphrasing
The sun is brightening up the meeting between the two friends.,The sun is brightening up the meeting between the 2 friends.,Paraphrasing
a man is pretending to be asleep so no one will talk to him,a man is pretending to be asleep so nobody will talk to him,Paraphrasing
Someone standing near a small window of a building looking at his cat on the window sill.,Someone standing near a little window of a building looking at his cat on the window sill.,Paraphrasing
Someone standing near a small window of a building looking at his cat on the window sill.,Someone standing close to a small window of a building looking at his cat on the window sill.,Paraphrasing
Someone standing near a small window of a building looking at his cat on the window sill.,Someone standing near a tiny window of a building looking at his cat on the window sill.,Paraphrasing
A little girl throw rocks into a small stream.,A little girl throw rocks into a tiny stream.,Paraphrasing
A little girl throw rocks into a small stream.,A tiny girl throw rocks into a small stream.,Paraphrasing
A little girl throw rocks into a small stream.,A small girl throw rocks into a small stream.,Paraphrasing
A little girl throw rocks into a small stream.,A little girl throw rocks into a little stream.,Paraphrasing
The third man is giving the other two men advice on how to fix the motorcycle.,The 3rd man is giving the other two men advice on how to fix the motorcycle.,Paraphrasing
A little girl is drawing at a table near a baby.,A small girl is drawing at a table near a baby.,Paraphrasing
A little girl is drawing at a table near a baby.,A little girl is drawing at a table close to a baby.,Paraphrasing
A little girl is drawing at a table near a baby.,A tiny girl is drawing at a table near a baby.,Paraphrasing
A number of children are watching by two men because they not safe near the bus.,A number of children are watching by 2 men because they not safe near the bus.,Paraphrasing
A little girl is riding a horse on the street.,A tiny girl is riding a horse on the street.,Paraphrasing
A little girl is riding a horse on the street.,A small girl is riding a horse on the street.,Paraphrasing
A little girl is riding a horse on the street.,A little girl is riding a horse on the road.,Paraphrasing
The man close to the camera is playing drums.,The man near the camera is playing drums.,Paraphrasing
"A girl jumping into a pool, with a man standing near.","A girl jumping into a pool, with a man standing close to.",Paraphrasing
A little girl wearing pink cooking with her mom inside a resturant.,A small girl wearing pink cooking with her mom inside a resturant.,Paraphrasing
A little girl wearing pink cooking with her mom inside a resturant.,A tiny girl wearing pink cooking with her mom inside a resturant.,Paraphrasing
A little girl wearing pink cooking with her mom inside a resturant.,A little girl wearing pink cooking with her mother inside a resturant.,Paraphrasing
There is a small crowd of people in front of a building near the row of motorcycles.,There is a little crowd of people in front of a building near the row of motorcycles.,Paraphrasing
"A man wearing a colorful shirt is sitting with a plastic bucket on a wooden raft-type structure in brownish water with a canoe nearby, very close to the shore which is covered with greenery.","A man wearing a colorful shirt is sitting with a plastic bucket on a wooden raft-type structure in brownish water with a canoe nearby, very near the shore which is covered with greenery.",Paraphrasing
The man was in danger of riding his bike too close to the cars on the street.,The man was in danger of riding his bike too close to the cars on the road.,Paraphrasing
The man was in danger of riding his bike too close to the cars on the street.,The man was in danger of riding his bike too near the cars on the street.,Paraphrasing
A little girl crys in a woman's arms as she walks down the street.,A tiny girl crys in a woman's arms as she walks down the street.,Paraphrasing
A little girl crys in a woman's arms as she walks down the street.,A small girl crys in a woman's arms as she walks down the street.,Paraphrasing
A little girl crys in a woman's arms as she walks down the street.,A little girl crys in a woman's arms as she walks down the road.,Paraphrasing
A baseball player in gray and orange is trying to avoid being tagged out by the second base player of the opposing team in maroon and white.,A baseball player in gray and orange is trying to avoid being tagged out by the 2nd base player of the opposing team in maroon and white.,Paraphrasing
A boy dressed in blue jeans and a red shirt sits on the road holding a water bottle while a little girl dressed in a red shirt looks on.,A boy dressed in blue jeans and a red shirt sits on the street holding a water bottle while a little girl dressed in a red shirt looks on.,Paraphrasing
A boy dressed in blue jeans and a red shirt sits on the road holding a water bottle while a little girl dressed in a red shirt looks on.,A boy dressed in blue jeans and a red shirt sits on the road holding a water bottle while a small girl dressed in a red shirt looks on.,Paraphrasing
A small girl wearing a yellow dress rocking in a tiny white chair.,A tiny girl wearing a yellow dress rocking in a tiny white chair.,Paraphrasing
A small girl wearing a yellow dress rocking in a tiny white chair.,A small girl wearing a yellow dress rocking in a small white chair.,Paraphrasing
A small girl wearing a yellow dress rocking in a tiny white chair.,A little girl wearing a yellow dress rocking in a tiny white chair.,Paraphrasing
A small girl wearing a yellow dress rocking in a tiny white chair.,A small girl wearing a yellow dress rocking in a little white chair.,Paraphrasing
The street goes all the way the the planet Mars.,The road goes all the way the the planet Mars.,Paraphrasing
A little girl is helping her father make breakfast,A small girl is helping her father make breakfast,Paraphrasing
A little girl is helping her father make breakfast,A little girl is helping her dad make breakfast,Paraphrasing
A little girl is helping her father make breakfast,A tiny girl is helping her father make breakfast,Paraphrasing
A man on a bicycle rides his bike down a small street near his home as a garabage truck drives close behind.,A man on a bicycle rides his bike down a little street near his home as a garabage truck drives close behind.,Paraphrasing
A man on a bicycle rides his bike down a small street near his home as a garabage truck drives close behind.,A man on a bicycle rides his bike down a tiny street near his home as a garabage truck drives close behind.,Paraphrasing
A man on a bicycle rides his bike down a small street near his home as a garabage truck drives close behind.,A man on a bicycle rides his bike down a small road near his home as a garabage truck drives close behind.,Paraphrasing
The little girl is coloring a picture to give to her mom.,The tiny girl is coloring a picture to give to her mom.,Paraphrasing
The little girl is coloring a picture to give to her mom.,The little girl is coloring a picture to give to her mother.,Paraphrasing
The little girl is coloring a picture to give to her mom.,The small girl is coloring a picture to give to her mom.,Paraphrasing
The first baseman is up to bat.,The 1st baseman is up to bat.,Paraphrasing
There is an old man and a little girl looking very sad.,There is an old man and a small girl looking very sad.,Paraphrasing
There is an old man and a little girl looking very sad.,There is an old man and a little girl looking very unhappy.,Paraphrasing
There is an old man and a little girl looking very sad.,There is an old man and a little girl looking very miserable.,Paraphrasing
There is an old man and a little girl looking very sad.,There is an old man and a tiny girl looking very sad.,Paraphrasing
A small girl dressed in a yellow dress with flowers on it bends over near a large pile of watermelons.,A little girl dressed in a yellow dress with flowers on it bends over near a large pile of watermelons.,Paraphrasing
A small girl dressed in a yellow dress with flowers on it bends over near a large pile of watermelons.,A small girl dressed in a yellow dress with flowers on it bends over close to a large pile of watermelons.,Paraphrasing
A small girl dressed in a yellow dress with flowers on it bends over near a large pile of watermelons.,A tiny girl dressed in a yellow dress with flowers on it bends over near a large pile of watermelons.,Paraphrasing
"The camera was tilted to the side to show this small room containing a number of different umbrellas in solid colors of red, blue, and black, most of them open and on the floor, while a woman stands behind them near the door to the room.","The camera was tilted to the side to show this tiny room containing a number of different umbrellas in solid colors of red, blue, and black, most of them open and on the floor, while a woman stands behind them near the door to the room.",Paraphrasing
A woman in a brown jacket taking a picture near two other people.,A woman in a brown jacket taking a picture close to two other people.,Paraphrasing
A big brown dog plays with a small white dog near a ball.,A big brown dog plays with a tiny white dog near a ball.,Paraphrasing
A big brown dog plays with a small white dog near a ball.,A big brown dog plays with a little white dog near a ball.,Paraphrasing
A big brown dog plays with a small white dog near a ball.,A big brown dog plays with a small white dog close to a ball.,Paraphrasing
The woman is so happy she won her competition.,The woman is so pleased she won her competition.,Paraphrasing
The woman is so happy she won her competition.,The woman is so delighted she won her competition.,Paraphrasing
The woman is so happy she won her competition.,The woman is so glad she won her competition.,Paraphrasing
There is a girl running near the water.,There is a girl passing near the water.,strict_entailment
The little girl crosses the street alone.,The small girl crosses the street alone.,Paraphrasing
The little girl crosses the street alone.,The tiny girl crosses the street alone.,Paraphrasing
The little girl crosses the street alone.,The little girl crosses the road alone.,Paraphrasing
The man cannot get the four wheeler to turn for some reason.,The man cannot get the 4 wheeler to turn for some reason.,Paraphrasing
an elderly woman stands outside near some trees and an architectural design that she built,an elderly woman stands outside close to some trees and an architectural design that she built,Paraphrasing
"On a street in England, people watch a construction vehicle work on the road.","On a street in England, people watch a construction vehicle work on the street.",Paraphrasing
An older man had just bought some biscuits from a little girl for charity.,An older man had just bought some biscuits from a tiny girl for charity.,Paraphrasing
An older man had just bought some biscuits from a little girl for charity.,An older man had just bought some biscuits from a small girl for charity.,Paraphrasing
Two kids and two older people near them.,Two kids and 2 older people near them.,Paraphrasing
A little male has his head close to the floor and feet facing up.,A little male has his head near the floor and feet facing up.,Paraphrasing
four performers are dancing in a parking lot while others watch.,4 performers are dancing in a parking lot while others watch.,Paraphrasing
A small baby stands near a cradle.,A tiny baby stands near a cradle.,Paraphrasing
A small baby stands near a cradle.,A little baby stands near a cradle.,Paraphrasing
A small baby stands near a cradle.,A small baby stands close to a cradle.,Paraphrasing
A little girl stands in a puddle of water in the middle of the street.,A tiny girl stands in a puddle of water in the middle of the street.,Paraphrasing
A little girl stands in a puddle of water in the middle of the street.,A little girl stands in a puddle of water in the middle of the road.,Paraphrasing
A little girl stands in a puddle of water in the middle of the street.,A small girl stands in a puddle of water in the middle of the street.,Paraphrasing
The little girl is making a sand castle to show her mother.,The tiny girl is making a sand castle to show her mother.,Paraphrasing
The little girl is making a sand castle to show her mother.,The small girl is making a sand castle to show her mother.,Paraphrasing
The little girl is making a sand castle to show her mother.,The little girl is making a sand castle to show her mom.,Paraphrasing
A woman in comfortable clothing is moving quickly outside near a building with a decoration on it.,A woman in comfortable clothing is moving rapidly outside near a building with a decoration on it.,Paraphrasing
A woman in comfortable clothing is moving quickly outside near a building with a decoration on it.,A woman in comfortable clothing is moving fast outside near a building with a decoration on it.,Paraphrasing
A woman in comfortable clothing is moving quickly outside near a building with a decoration on it.,A woman in comfortable clothing is moving quickly outside close to a building with a decoration on it.,Paraphrasing
a baby is very happy,a baby is very joyful,Paraphrasing
a baby is very happy,a baby is very pleased,Paraphrasing
a baby is very happy,a baby is very glad,Paraphrasing
a baby is very happy,a baby is very delighted,Paraphrasing
A little girl poses for a picture her mom is taking.,A tiny girl poses for a picture her mom is taking.,Paraphrasing
A little girl poses for a picture her mom is taking.,A small girl poses for a picture her mom is taking.,Paraphrasing
A little girl poses for a picture her mom is taking.,A little girl poses for a picture her mother is taking.,Paraphrasing
A man stands near two women.,A man stands near 2 women.,Paraphrasing
A nighttime scene of a busy brick road in England.,A nighttime scene of a busy brick street in England.,Paraphrasing
A little girl dislikes her brother's throw.,A tiny girl dislikes her brother's throw.,Paraphrasing
A small group of men are having dinner and talking.,A tiny group of men are having dinner and talking.,Paraphrasing
A small group of men are having dinner and talking.,A small group of men are having dinner and speaking.,Paraphrasing
A small group of men are having dinner and talking.,A little group of men are having dinner and talking.,Paraphrasing
A man selling food on the streets during late night with three lamps.,A man selling food on the streets during late night with 3 lamps.,Paraphrasing
Three men stand near a building with a woman who is trying to shade her eyes from the sun.,Three men stand close to a building with a woman who is trying to shade her eyes from the sun.,Paraphrasing
A small girl is sneaking up on some people walking down a dirt road,A little girl is sneaking up on some people walking down a dirt road,Paraphrasing
A small girl is sneaking up on some people walking down a dirt road,A small girl is sneaking up on some people walking down a dirt street,Paraphrasing
A small girl is sneaking up on some people walking down a dirt road,A tiny girl is sneaking up on some people walking down a dirt road,Paraphrasing
The little girl in the white dress is looking at a book with her mother.,The tiny girl in the white dress is looking at a book with her mother.,Paraphrasing
The little girl in the white dress is looking at a book with her mother.,The small girl in the white dress is looking at a book with her mother.,Paraphrasing
The little girl in the white dress is looking at a book with her mother.,The little girl in the white dress is looking at a book with her mom.,Paraphrasing
A person trying to get that perfect picture near the small creek.,A person trying to get that perfect picture near the little creek.,Paraphrasing
A little girl on the street in a yellowish green and orange dress is holding a Hello Kitty balloon with her right hand.,A tiny girl on the street in a yellowish green and orange dress is holding a Hello Kitty balloon with her right hand.,Paraphrasing
A little girl on the street in a yellowish green and orange dress is holding a Hello Kitty balloon with her right hand.,A little girl on the road in a yellowish green and orange dress is holding a Hello Kitty balloon with her right hand.,Paraphrasing
A little girl on the street in a yellowish green and orange dress is holding a Hello Kitty balloon with her right hand.,A small girl on the street in a yellowish green and orange dress is holding a Hello Kitty balloon with her right hand.,Paraphrasing
A young woman is outside near some water.,A young woman is outside close to some water.,Paraphrasing
A little girl sitting in a small chair outdoors.,A little girl sitting in a little chair outdoors.,Paraphrasing
A little girl sitting in a small chair outdoors.,A tiny girl sitting in a small chair outdoors.,Paraphrasing
A little girl sitting in a small chair outdoors.,A small girl sitting in a small chair outdoors.,Paraphrasing
The young woman used to live near the building.,The young woman used to live close to the building.,Paraphrasing
"A man stretches out on a blanket in a small field, near a very busy road.","A man stretches out on a blanket in a little field, near a very busy road.",Paraphrasing
"A man stretches out on a blanket in a small field, near a very busy road.","A man stretches out on a blanket in a small field, near a very busy street.",Paraphrasing
"A man stretches out on a blanket in a small field, near a very busy road.","A man stretches out on a blanket in a small field, close to a very busy road.",Paraphrasing
A small group of teens walk down a street together dressed displaying hand gestures and wearing tights and miniskirts.,A small group of teens walk down a road together dressed displaying hand gestures and wearing tights and miniskirts.,Paraphrasing
A small group of teens walk down a street together dressed displaying hand gestures and wearing tights and miniskirts.,A little group of teens walk down a street together dressed displaying hand gestures and wearing tights and miniskirts.,Paraphrasing
A small group of teens walk down a street together dressed displaying hand gestures and wearing tights and miniskirts.,A tiny group of teens walk down a street together dressed displaying hand gestures and wearing tights and miniskirts.,Paraphrasing
A Chinese person is chopping onions.,A Chinese person is chopping vegetables.,strict_entailment
a little girl in a white dress walking along side a small stream while touching her foot to a rock and holding her hair out of her face.,a tiny girl in a white dress walking along side a small stream while touching her foot to a rock and holding her hair out of her face.,Paraphrasing
a little girl in a white dress walking along side a small stream while touching her foot to a rock and holding her hair out of her face.,a little girl in a white dress walking along side a little stream while touching her foot to a rock and holding her hair out of her face.,Paraphrasing
a little girl in a white dress walking along side a small stream while touching her foot to a rock and holding her hair out of her face.,a little girl in a white dress walking along side a tiny stream while touching her foot to a rock and holding her hair out of her face.,Paraphrasing
a little girl in a white dress walking along side a small stream while touching her foot to a rock and holding her hair out of her face.,a small girl in a white dress walking along side a small stream while touching her foot to a rock and holding her hair out of her face.,Paraphrasing
Two men sitting on a flight of stairs next to the number five.,Two men sitting on a flight of stairs next to the number 5.,Paraphrasing
The two soccer players cannot see each other.,The 2 soccer players cannot see each other.,Paraphrasing
A young boy is near some bushes.,A young boy is close to some bushes.,Paraphrasing
A little girl wearing sandals and white clothes holds up a small wooden cage hanging by a string.,A little girl wearing sandals and white clothes holds up a little wooden cage hanging by a string.,Paraphrasing
A little girl wearing sandals and white clothes holds up a small wooden cage hanging by a string.,A little girl wearing sandals and white clothes holds up a tiny wooden cage hanging by a string.,Paraphrasing
A little girl wearing sandals and white clothes holds up a small wooden cage hanging by a string.,A small girl wearing sandals and white clothes holds up a small wooden cage hanging by a string.,Paraphrasing
A little girl wearing sandals and white clothes holds up a small wooden cage hanging by a string.,A tiny girl wearing sandals and white clothes holds up a small wooden cage hanging by a string.,Paraphrasing
A little girl is reunited with her brother after a camping trip near a bridge.,A small girl is reunited with her brother after a camping trip near a bridge.,Paraphrasing
A little girl is reunited with her brother after a camping trip near a bridge.,A tiny girl is reunited with her brother after a camping trip near a bridge.,Paraphrasing
A little girl is reunited with her brother after a camping trip near a bridge.,A little girl is reunited with her brother after a camping trip close to a bridge.,Paraphrasing
A man is floating on a small boat down a city water street.,A man is floating on a little boat down a city water street.,Paraphrasing
A man is floating on a small boat down a city water street.,A man is floating on a small boat down a city water road.,Paraphrasing
A man is floating on a small boat down a city water street.,A man is floating on a tiny boat down a city water street.,Paraphrasing
A small girl playing tennis with her father,A tiny girl playing tennis with her father,Paraphrasing
A small girl playing tennis with her father,A little girl playing tennis with her father,Paraphrasing
A small girl playing tennis with her father,A small girl playing tennis with her dad,Paraphrasing
A girl in a pink sweatshirt chopping onions.,A girl in a pink sweatshirt chopping vegetables.,strict_entailment
A small woman with a huge bag standing on a city street.,A small woman with a huge bag standing on a city road.,Paraphrasing
A small woman with a huge bag standing on a city street.,A tiny woman with a huge bag standing on a city street.,Paraphrasing
A small woman with a huge bag standing on a city street.,A little woman with a huge bag standing on a city street.,Paraphrasing
A skier in a orange jacket is in first place as he skies down a mountain.,A skier in a orange jacket is in 1st place as he skies down a mountain.,Paraphrasing
A little girl dancing on the street.,A little girl dancing on the road.,Paraphrasing
A little girl dancing on the street.,A tiny girl dancing on the street.,Paraphrasing
A little girl dancing on the street.,A small girl dancing on the street.,Paraphrasing
A little boy with a cream colored shirt holding a small piece of candy in a wrapper he has been saving.,A small boy with a cream colored shirt holding a small piece of candy in a wrapper he has been saving.,Paraphrasing
A little boy with a cream colored shirt holding a small piece of candy in a wrapper he has been saving.,A little boy with a cream colored shirt holding a little piece of candy in a wrapper he has been saving.,Paraphrasing
A little boy with a cream colored shirt holding a small piece of candy in a wrapper he has been saving.,A little boy with a cream colored shirt holding a tiny piece of candy in a wrapper he has been saving.,Paraphrasing
a little girl is standing near a pool of water she made.,a little girl is standing close to a pool of water she made.,Paraphrasing
a little girl is standing near a pool of water she made.,a tiny girl is standing near a pool of water she made.,Paraphrasing
a little girl is standing near a pool of water she made.,a small girl is standing near a pool of water she made.,Paraphrasing
A man in a cave stands near some bright lights.,A man in a cave stands close to some bright lights.,Paraphrasing
A man in a black jacket is holding a little girl's hand while walking down the city street,A man in a black jacket is holding a tiny girl's hand while walking down the city street,Paraphrasing
A man in a black jacket is holding a little girl's hand while walking down the city street,A man in a black jacket is holding a little girl's hand while walking down the city road,Paraphrasing
A man in a black jacket is holding a little girl's hand while walking down the city street,A man in a black jacket is holding a small girl's hand while walking down the city street,Paraphrasing
A young person is wearing clothes for bed time and sitting near some toys.,A young person is wearing clothes for bed time and sitting close to some toys.,Paraphrasing
A boy runs near some steps.,A boy runs close to some steps.,Paraphrasing
The little boy is sitting in the sun,The small boy is sitting in the sun,Paraphrasing
A group of men standing near the road in front of an advertisement and tram car.,A group of men standing near the street in front of an advertisement and tram car.,Paraphrasing
